home_team,away_team
Chelsea,Everton
Chelsea,Manchester United
Chelsea,Aston Villa
Chelsea,Brentford
Chelsea,Brighton
Chelsea,Wolverhampton
Chelsea,Newcastle
Chelsea,Nottingham Forest
Chelsea,Tottenham
Chelsea,West Ham
Chelsea,Arsenal
Chelsea,Crystal Palace
Chelsea,Fulham
Chelsea,Leicester
Chelsea,Southampton
Chelsea,Bournemouth
Chelsea,Leeds
Chelsea,Manchester City
Chelsea,Liverpool
Everton,Manchester United
Everton,Aston Villa
Everton,Brentford
Everton,Brighton
Everton,Wolverhampton
Everton,Newcastle
Everton,Nottingham Forest
Everton,Tottenham
Everton,West Ham
Everton,Arsenal
Everton,Crystal Palace
Everton,Fulham
Everton,Leicester
Everton,Southampton
Everton,Bournemouth
Everton,Leeds
Everton,Manchester City
Everton,Liverpool
Manchester United,Aston Villa
Manchester United,Brentford
Manchester United,Brighton
Manchester United,Wolverhampton
Manchester United,Newcastle
Manchester United,Nottingham Forest
Manchester United,Tottenham
Manchester United,West Ham
Manchester United,Arsenal
Manchester United,Crystal Palace
Manchester United,Fulham
Manchester United,Leicester
Manchester United,Southampton
Manchester United,Bournemouth
Manchester United,Leeds
Manchester United,Manchester City
Manchester United,Liverpool
Aston Villa,Brentford
Aston Villa,Brighton
Aston Villa,Wolverhampton
Aston Villa,Newcastle
Aston Villa,Nottingham Forest
Aston Villa,Tottenham
Aston Villa,West Ham
Aston Villa,Arsenal
Aston Villa,Crystal Palace
Aston Villa,Fulham
Aston Villa,Leicester
Aston Villa,Southampton
Aston Villa,Bournemouth
Aston Villa,Leeds
Aston Villa,Manchester City
Aston Villa,Liverpool
Brentford,Brighton
Brentford,Wolverhampton
Brentford,Newcastle
Brentford,Nottingham Forest
Brentford,Tottenham
Brentford,West Ham
Brentford,Arsenal
Brentford,Crystal Palace
Brentford,Fulham
Brentford,Leicester
Brentford,Southampton
Brentford,Bournemouth
Brentford,Leeds
Brentford,Manchester City
Brentford,Liverpool
Brighton,Wolverhampton
Brighton,Newcastle
Brighton,Nottingham Forest
Brighton,Tottenham
Brighton,West Ham
Brighton,Arsenal
Brighton,Crystal Palace
Brighton,Fulham
Brighton,Leicester
Brighton,Southampton
Brighton,Bournemouth
Brighton,Leeds
Brighton,Manchester City
Brighton,Liverpool
Wolverhampton,Newcastle
Wolverhampton,Nottingham Forest
Wolverhampton,Tottenham
Wolverhampton,West Ham
Wolverhampton,Arsenal
Wolverhampton,Crystal Palace
Wolverhampton,Fulham
Wolverhampton,Leicester
Wolverhampton,Southampton
Wolverhampton,Bournemouth
Wolverhampton,Leeds
Wolverhampton,Manchester City
Wolverhampton,Liverpool
Newcastle,Nottingham Forest
Newcastle,Tottenham
Newcastle,West Ham
Newcastle,Arsenal
Newcastle,Crystal Palace
Newcastle,Fulham
Newcastle,Leicester
Newcastle,Southampton
Newcastle,Bournemouth
Newcastle,Leeds
Newcastle,Manchester City
Newcastle,Liverpool
Nottingham Forest,Tottenham
Nottingham Forest,West Ham
Nottingham Forest,Arsenal
Nottingham Forest,Crystal Palace
Nottingham Forest,Fulham
Nottingham Forest,Leicester
Nottingham Forest,Southampton
Nottingham Forest,Bournemouth
Nottingham Forest,Leeds
Nottingham Forest,Manchester City
Nottingham Forest,Liverpool
Tottenham,West Ham
Tottenham,Arsenal
Tottenham,Crystal Palace
Tottenham,Fulham
Tottenham,Leicester
Tottenham,Southampton
Tottenham,Bournemouth
Tottenham,Leeds
Tottenham,Manchester City
Tottenham,Liverpool
West Ham,Arsenal
West Ham,Crystal Palace
West Ham,Fulham
West Ham,Leicester
West Ham,Southampton
West Ham,Bournemouth
West Ham,Leeds
West Ham,Manchester City
West Ham,Liverpool
Arsenal,Crystal Palace
Arsenal,Fulham
Arsenal,Leicester
Arsenal,Southampton
Arsenal,Bournemouth
Arsenal,Leeds
Arsenal,Manchester City
Arsenal,Liverpool
Crystal Palace,Fulham
Crystal Palace,Leicester
Crystal Palace,Southampton
Crystal Palace,Bournemouth
Crystal Palace,Leeds
Crystal Palace,Manchester City
Crystal Palace,Liverpool
Fulham,Leicester
Fulham,Southampton
Fulham,Bournemouth
Fulham,Leeds
Fulham,Manchester City
Fulham,Liverpool
Leicester,Southampton
Leicester,Bournemouth
Leicester,Leeds
Leicester,Manchester City
Leicester,Liverpool
Southampton,Bournemouth
Southampton,Leeds
Southampton,Manchester City
Southampton,Liverpool
Bournemouth,Leeds
Bournemouth,Manchester City
Bournemouth,Liverpool
Leeds,Manchester City
Leeds,Liverpool
Manchester City,Liverpool
